,default_profile,favourites_count,followers_count,friends_count,location,statuses_count,verified,account_age_days,account_type,ratio_statuses_count_per_age,ratio_favorites_per_age,ratio_friends_per_followers,word_count,char_count,reputation,contains_bot_name,description_word_count,description_character_count,avg_word
1081,True,28334,191,570,True,684,False,4493,human,0.15223681281994214,6.306254173158246,2.9842931937172774,10,63,0.25098554533508544,False,10,54,5.4
1082,False,2677,226,779,True,8143,False,2891,human,2.8166724316845384,0.9259771705292287,3.4469026548672566,12,57,0.22487562189054727,False,12,46,3.8333333333333335
1083,False,2050,1623,730,True,32292,False,3882,bot,8.31839258114374,0.5280783101494075,0.44978434996919286,11,65,0.6897577560560986,False,11,55,5.0
1084,False,10275,951,795,True,11028,False,3570,human,3.089075630252101,2.8781512605042017,0.8359621451104101,3,21,0.5446735395189003,False,3,19,6.333333333333333
1085,False,2213,150,419,True,4252,False,3402,human,1.2498530276308053,0.6504997060552616,2.7933333333333334,31,157,0.26362038664323373,False,31,127,4.096774193548387
1086,False,6260,679851,1299,True,9874,True,4318,human,2.286706808707735,1.4497452524316814,0.0019107127885374883,8,102,0.998092931072451,False,9,94,10.444444444444445
1087,True,212,0,0,True,292,False,2534,bot,0.11523283346487766,0.08366219415943173,2.303236456121974,1,1,0.0,False,1,1,1.0
1088,True,1215,21,0,True,1654,False,2296,bot,0.7203832752613241,0.5291811846689896,0.0,2,111,1.0,False,2,110,55.0
1089,True,6001,35,177,True,801,False,1776,human,0.4510135135135135,3.3789414414414414,5.057142857142857,6,54,0.1650943396226415,False,6,49,8.166666666666666
1090,False,9023,1268055,822,True,262,True,3735,human,0.07014725568942437,2.415796519410977,0.0006482368666974224,8,115,0.9993521830721181,False,8,108,13.5
1091,True,556,56,49,True,812,False,2394,bot,0.3391812865497076,0.2322472848788638,0.875,1,1,0.5333333333333333,False,1,1,1.0
1092,False,935,44,0,True,1869,False,3725,human,0.501744966442953,0.25100671140939596,0.0,26,140,1.0,False,26,115,4.423076923076923
1093,True,3218,96,158,True,5154,False,783,bot,6.582375478927203,4.109833971902938,1.6458333333333333,12,67,0.3779527559055118,False,12,56,4.666666666666667
1094,False,0,22859799,0,True,996,True,4184,human,0.23804971319311663,0.0,0.0,1,1,1.0,False,1,1,1.0
1095,True,9655,873,907,True,8125,False,872,human,9.317660550458715,11.072247706422019,1.038946162657503,5,33,0.4904494382022472,False,5,29,5.8
1096,False,88,753678,116,True,4202,True,3138,human,1.3390694710006374,0.02804333970681963,0.0001539118827934476,7,36,0.9998461118024288,False,7,30,4.285714285714286
1097,False,27047,23941,236,True,1342,False,3091,human,0.43416370106761565,8.750242639922355,0.00985756651768932,5,64,0.9902386565744302,False,6,59,9.833333333333334
1098,False,114,4717634,86,True,2386,True,3689,human,0.6467877473570073,0.030902683654106804,1.822947689456198e-05,5,25,0.9999817708554132,False,5,21,4.2
1099,True,223,15,0,True,39,False,3792,bot,0.010284810126582278,0.058808016877637134,0.0,5,41,1.0,False,5,37,7.4
1100,True,1153,7,0,True,1577,False,3133,bot,0.5033514203638685,0.36801787424194066,0.0,1,1,1.0,False,1,1,1.0
1101,False,439,97480,0,True,65887,True,3595,human,18.32739916550765,0.12211404728789986,0.0,22,154,1.0,False,22,133,6.045454545454546
1102,False,2625,204,160,True,35303,False,4186,human,8.433588150979455,0.6270903010033445,0.7843137254901961,8,47,0.5604395604395604,False,7,40,5.714285714285714
1103,False,47492,425,814,True,6271,False,3456,human,1.814525462962963,13.741898148148149,1.9152941176470588,17,98,0.34301856335754644,False,17,82,4.823529411764706
